id,battery_output
39457,0.055637031
39458,-1.128547995
39459,-0.15494321
39460,-0.975194344
39461,-2.634590055
39462,-1.156014943
39463,-3.532318588
39464,-1.785796604
39465,-1.865708551
39466,-0.772828657
39467,-0.22494347
39468,0.289750133
39469,1.944264313
39470,-1.237424401
39471,-0.148947666
39472,1.466289235
39473,0.988597749
39474,0.859953229
39475,-0.115734287
39476,1.504621737
39477,0.144254665
39478,-0.403770315
39479,-1.1144949
39480,-0.293955062
39481,-0.876483133
39482,-0.403168197
39483,-0.318199588
39484,-0.033698362
39485,-0.081168065
39486,-1.563918817
39487,-0.054456847
39488,-0.191801102
39489,0.018061857
39490,-2.296391713
39491,-0.854710217
39492,-0.192604252
39493,-0.515976401
39494,-0.548699638
39495,-1.981925263
39496,2.601970473
39497,-0.699398748
39498,2.179008154
39499,-1.045570652
39500,2.6925601
39501,1.037400476
39502,0.414709705
39503,-0.276868792
39504,-0.998576518
39505,-0.183237413
39506,-0.52845734
39507,-0.26207939
39508,-0.869032432
39509,-0.961837612
39510,-0.723660696
39511,0.660644635
39512,0.36811529
39513,0.255692349
39514,0.264017801
39515,-0.718657866
39516,0.218059163
39517,-2.64440854
39518,-0.711552516
39519,-0.859901449
39520,-0.353930659
39521,-0.612241889
39522,-0.272228004
39523,0.68041771
39524,1.251808549
39525,-0.353412581
39526,-0.856909373
39527,-1.789795058
39528,0.282241838
39529,-0.863381825
39530,-0.456716484
39531,0.361556495
39532,0.547729562
39533,-0.442823079
39534,0.138334148
39535,0.472848326
39536,-0.721345626
39537,-0.213093185
39538,0.167408575
39539,-0.257085557
39540,-0.623562298
39541,-0.816255526
39542,0.062723158
39543,-0.497055484
39544,0.391115503
39545,0.95470216
39546,1.340445302
39547,-0.583247551
39548,1.475997876
39549,0.865824077
39550,3.816458466
39551,0.213940054
39552,0.237716656
39553,-0.584273008
39554,-0.659660929
39555,-0.115685457
39556,-0.86589225
39557,-0.504756305
39558,-0.383453068
39559,-0.474357947
39560,-0.22704515
39561,-0.162822129
39562,0.479236106
39563,-0.29059188
39564,1.68254868
39565,-0.683223588
39566,-0.391490412
39567,0.252647873
39568,-0.239345118
39569,1.014538435
39570,2.832751361
39571,0.177173015
39572,0.659058492
39573,0.713742033
39574,1.540454593
39575,-0.19733405
39576,-0.149739953
39577,-0.373526114
39578,-1.190562709
39579,-1.42781062
39580,-0.20411007
39581,-0.532453378
39582,-0.163186805
39583,-0.719435879
39584,-1.567094493
39585,-1.135743711
39586,0.436513293
39587,1.367100539
39588,0.044650834
39589,-0.404386733
39590,-0.36683305
39591,-1.03826742
39592,-0.469529446
39593,-0.782217179
39594,1.595318169
39595,0.140903302
39596,-0.190597265
39597,0.510309834
39598,-0.59109908
39599,-0.809436342
39600,-0.774326926
39601,-0.888864125
39602,0.411489676
39603,0.622127848
39604,0.630619425
39605,-0.21018046
39606,-0.583779135
39607,-1.407972009
39608,-1.200656886
39609,-0.781354189
39610,0.254265779
39611,0.411859684
39612,-0.845823856
39613,-0.549404318
39614,-0.663320347
39615,-0.15470398
39616,-0.228712369
39617,1.080133668
39618,-1.709147729
39619,-0.674544249
39620,-0.257211581
39621,-0.511368326
39622,-0.16604963
39623,0.857436185
39624,1.007847178
39625,1.513489841
39626,1.745249379
39627,-0.466662568
39628,0.36243927
39629,0.104627241
39630,0.236705298
39631,0.851070799
39632,-0.826464047
39633,2.343365109
39634,1.734896192
39635,-0.189909699
39636,-0.461430946
39637,-1.15017308
39638,-2.358560417
39639,-1.590473531
39640,-0.561199162
39641,-0.90914335
39642,-2.242783361
39643,-2.400598234
39644,-0.234719961
39645,-0.962396323
39646,1.272175722
39647,2.479228227
39648,0.06037523
39649,-0.272822876
39650,1.242674146
39651,-0.127898563
39652,-0.669924583
39653,-0.708356043
39654,0.03689376
39655,-0.022142531
39656,-0.581178889
39657,1.085602111
39658,-0.606055295
39659,0.423459168
39660,-0.284402646
39661,-0.909557543
39662,-0.405044012
39663,0.057775205
39664,-0.357204471
39665,-1.88436544
39666,0.546855097
39667,2.062840675
39668,0.476393618
39669,0.036494438
39670,0.909291995
39671,-0.120910571
39672,-1.056081774
39673,-2.100325288
39674,-0.725330773
39675,2.085895199
39676,0.259736476
39677,-0.837936432
39678,-0.46719897
39679,0.137785696
39680,-0.00799409
39681,-0.061417285
39682,-0.21933488
39683,2.283374651
39684,-0.631708051
39685,-0.439616547
39686,-0.080025301
39687,1.681125744
39688,0.208618242
39689,0.110427147
39690,-0.552541439
39691,-1.00033695
39692,1.397477741
39693,1.602663003
39694,0.509057746
39695,1.436926508
39696,-0.807054498
39697,-0.916912575
39698,-0.584205025
39699,-1.021188562
39700,0.156738416
39701,0.518834066
39702,-0.333432507
39703,-0.766610969
39704,-0.62785091
39705,0.296573683
39706,-0.033389634
39707,-0.057982113
39708,-0.724685067
39709,-0.608744294
39710,-0.489905242
39711,0.279857832
39712,-0.266395156
39713,0.364856773
39714,-0.534215516
39715,-0.466237834
39716,-0.318052548
39717,-0.717645169
39718,0.250464825
39719,0.488047937
39720,0.247484431
39721,-0.477653089
39722,-1.316393671
39723,-0.444738674
39724,-0.241077936
39725,1.719055072
39726,0.177079351
39727,1.103571666
39728,-1.696290892
39729,0.481128002
39730,-1.310840052
39731,-0.573491183
39732,-0.184992766
39733,2.951599642
39734,2.232757075
39735,1.41321035
39736,1.885951661
39737,0.940018836
39738,2.701580984
39739,-1.338920258
39740,-0.175957907
39741,-1.816426377
39742,-0.534250101
39743,-0.655487584
39744,0.465988491
39745,-0.971997691
39746,-0.252314935
39747,0.760331491
39748,1.019864479
39749,0.58344244
39750,0.166378961
39751,-0.628236067
39752,-0.736147637
39753,-1.317911614
39754,-0.956328904
39755,-0.105989424
39756,0.410759153
39757,0.207108094
39758,0.443798986
39759,-0.391370387
39760,1.729986937
39761,-0.084857519
39762,-0.564127548
39763,1.203585084
39764,-0.228978446
39765,-0.139080196
39766,0.52830364
39767,-1.727813129
39768,-0.963031297
39769,-3.894411719
39770,-0.366692458
39771,0.565697946
39772,1.169200638
39773,-0.141242048
39774,0.573794685
39775,-0.6116254
39776,-0.36894137
39777,-0.081538635
39778,1.397491302
39779,1.574319509
39780,0.780722705
39781,0.008878739
39782,0.130269648
39783,-0.91024063
39784,-1.265208235
39785,-0.493053262
39786,-0.061327608
39787,-0.076450336
39788,-0.557800794
39789,2.054983498
39790,0.08381641
39791,-0.513517647
39792,-0.545461571
39793,-0.704897512
39794,-0.500925877
39795,-0.254559401
39796,-0.987404406
39797,-0.483344584
39798,0.126002751
39799,0.109766164
39800,0.230791775
39801,-0.894274546
39802,-0.076832087
39803,-0.226011558
39804,0.093104392
39805,-0.002687778
39806,-0.043309057
39807,0.159084688
39808,0.183741982
39809,-0.841962872
39810,-0.800440493
39811,-0.840021693
39812,-1.069795899
39813,-0.023003975
39814,-0.522934768
39815,-0.274706579
39816,-0.198947247
39817,-0.470384477
39818,0.946858674
39819,1.06249459
39820,-0.476452682
39821,0.935248472
39822,0.712287764
39823,0.754900617
39824,-0.800067006
39825,-0.120760273
39826,-1.604743912
39827,-1.785277062
39828,-1.414969075
39829,-0.666940884
39830,2.66973878
39831,-1.094293382
39832,-0.830219087
39833,-0.217163982
39834,1.064031782
39835,-0.592289639
39836,-0.672704031
39837,-0.326764912
39838,0.912063459
39839,0.749836192
39840,-0.494053909
39841,-0.320717864
39842,-0.372373052
39843,-0.467952737
39844,0.130808615
39845,-0.353335532
39846,-1.024798611
39847,-0.913444713
39848,1.587535161
39849,0.549842179
39850,0.986712278
39851,0.419918425
39852,-0.746937495
39853,0.6477616
39854,-0.248694204
39855,0.187405023
39856,-0.003512083
39857,-1.323548758
39858,-1.470648725
39859,-1.317651538
39860,-0.680539367
39861,0.4457204
39862,-1.2407775
39863,-0.6889104
39864,0.113834521
39865,-0.111251619
39866,0.328110273
39867,1.019120763
39868,0.495653194
39869,0.598192142
39870,0.512932809
39871,0.704073635
39872,0.96792195
39873,1.172323386
39874,0.437351348
39875,0.191931193
39876,0.427193635
39877,-1.536626492
39878,-1.48778565
39879,-1.847422474
39880,-0.790031556
39881,-1.32769472
39882,-0.474786637
39883,-0.882329502
39884,3.297040041
39885,0.998923929
39886,-0.284627616
39887,-0.3648637
39888,2.283018797
39889,-1.428560711
39890,-0.694562732
39891,0.093104539
39892,2.569990069
39893,1.058130105
39894,0.715248361
39895,0.135852366
39896,-0.027194395
39897,1.427814794
39898,-0.941190691
39899,-1.11152868
39900,-1.52803846
39901,-2.640190854
39902,-3.540589857
39903,-3.403902595
39904,-0.249026262
39905,-0.17007347
39906,1.197286364
39907,2.913684745
39908,0.944398996
39909,0.651586996
39910,-0.057602642
39911,0.125365392
39912,0.112007785
39913,-0.879301006
39914,-0.884134118
39915,-0.795107529
39916,-0.654733934
39917,0.551656812
39918,0.96497032
39919,0.852526734
39920,-1.243537875
39921,2.104092115
39922,1.331416465
39923,-0.702489018
39924,-1.065598375
39925,-1.279254503
39926,-1.79113612
39927,0.898284315
39928,-1.010713577
39929,-0.024294956
39930,-0.261740369
39931,1.423681469
39932,0.844414625
39933,0.236942935
39934,0.274171759
39935,2.295030531
39936,-0.204429474
39937,-0.015878122
39938,0.106499607
39939,0.196034409
39940,0.037833191
39941,-0.592425367
39942,-0.481628779
39943,-0.616009918
39944,-0.792948455
39945,-0.656420376
39946,-0.835552481
39947,-2.431815158
39948,-0.281021791
39949,-0.379193146
39950,-0.396697049
39951,-0.250182134
39952,-0.327736073
39953,0.079277653
39954,0.662294457
39955,-0.37964491
39956,-0.135203931
39957,-0.521729245
39958,0.245701647
39959,-0.203353206
39960,0.771181369
39961,-0.009330107
39962,2.514675883
39963,0.151153502
39964,-0.632143173
39965,-0.244577405
39966,-1.318120019
39967,-2.203104725
39968,-0.99115939
39969,-0.670604362
39970,2.050611013
39971,0.276425065
39972,-0.057885864
39973,1.240949408
39974,1.502415361
39975,2.204489559
39976,0.138607983
39977,-0.892000245
39978,1.363029564
39979,0.078001516
39980,0.418952755
39981,-0.764328609
39982,-1.298018579
39983,-1.082520047
39984,1.559849732
39985,0.48269525
39986,0.681878695
39987,0.792756782
39988,-0.180894202
39989,-0.080123464
39990,-0.250423189
39991,-0.518846306
39992,-0.724253153
39993,-0.604442596
39994,-0.140395748
39995,0.730222926
39996,-0.618516634
39997,0.22988405
39998,0.379911268
39999,0.306360853
40000,0.242770976
40001,0.029841213
40002,0.0070377
40003,-0.170703694
40004,0.343564494
40005,-0.770114125
40006,-0.14095959
40007,-0.042958121
40008,0.087789815
40009,-0.940884058
40010,-0.959226708
40011,-0.365114493
40012,0.092154416
40013,-0.27671123
40014,0.824913404
40015,0.131544479
40016,-0.059444064
40017,0.26562397
40018,0.653387123
40019,0.177352685
40020,-0.252296781
40021,-0.934365024
40022,-0.895897184
40023,-0.243659465
40024,-0.830917203
40025,1.114984425
40026,-0.71154102
40027,-0.45450429
40028,-1.4193224
40029,2.429002698
40030,2.47195626
40031,2.761283621
40032,1.850833905
40033,-0.600847948
40034,-0.636756888
40035,-0.201351786
40036,-0.246273894
40037,0.048783585
40038,-0.910471972
40039,-0.801222231
40040,0.006412177
40041,-0.524507057
40042,-0.732231178
40043,-0.870847819
40044,2.341303352
40045,-0.957244178
40046,-0.433941048
40047,0.497800745
40048,-0.454838896
40049,-0.599122686
40050,-0.827787414
40051,-0.225866848
40052,1.70554032
40053,-0.666043032
40054,0.061004596
40055,0.094075147
40056,0.807806392
40057,0.228885565
40058,0.146248147
40059,-0.954690565
40060,-0.178739646
40061,-0.719528083
40062,1.571864782
40063,1.073417858
40064,0.183644051
40065,0.435378163
40066,0.03341996
40067,-0.044824109
40068,-0.403033221
40069,-0.234698305
40070,-0.555019972
40071,-0.288712035
40072,-0.731818019
40073,-1.8097925
40074,-2.068442804
40075,-2.190092365
40076,1.007503616
40077,-2.514144417
40078,1.675039156
40079,0.661042973
40080,1.181804453
40081,0.21247768
40082,0.144081655
40083,0.903743903
40084,0.315548413
40085,0.163741863
40086,0.111223546
40087,0.735141841
40088,-0.147563421
40089,0.052143832
40090,0.074815742
40091,-0.723176162
40092,0.17901502
40093,-0.816899781
40094,-0.956690788
40095,-0.733129119
40096,-0.629743866
40097,-0.910081777
40098,0.008818673
40099,-0.115100857
40100,0.076146404
40101,-0.208659623
40102,-1.398881198
40103,-0.459112294
40104,-0.532556313
40105,-0.775558498
40106,0.18853245
40107,-0.77848302
40108,0.466012017
40109,0.529592745
40110,-0.488878754
40111,0.973278842
40112,-0.540793144
40113,1.350416377
40114,0.136089254
40115,1.447482757
40116,-0.65334385
40117,-1.673531727
40118,1.335298435
40119,1.030600492
40120,0.231638291
40121,1.976664979
40122,-0.621630806
40123,-1.558378674
40124,0.126659801
40125,-0.049467193
40126,1.004258206
40127,2.183213602
40128,-0.371964905
40129,-0.637230832
40130,0.512825526
40131,0.017363642
40132,0.401008786
40133,0.312958683
40134,-0.324562316
40135,-1.096854832
40136,-1.181592198
40137,0.040003096
40138,0.751305934
40139,0.075074846
40140,-1.002707435
40141,-0.586645562
40142,-0.72078797
40143,-0.505340909
